,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year
548,Marvin Hall,ATL,WR,28,2,0,1,1,0,0,0,0,0,0,10,0,1,0,0,0,2021
549,Demetrius Harris,ARI,TE,30,14,4,6,3,0,0,0,0,0,0,10,0,1,0,0,0,2021
550,Brycen Hopkins,LAR,TE,24,5,0,1,1,0,0,0,0,0,0,9,0,1,0,0,0,2021
551,Buddy Howell,LAR,RB,25,10,0,0,0,0,0,0,11,0,5,0,0,1,0,0,0,2021
552,Andy Isabella,ARI,WR,25,8,0,1,1,0,0,0,0,0,0,13,0,1,0,0,0,2021
553,John Kelly,CLE,RB,25,4,0,0,0,0,0,0,13,0,2,0,0,1,0,0,0,2021
554,Tommylee Lewis,MIA,WR,29,2,0,2,1,0,0,0,0,0,0,7,0,1,0,0,0,2021
555,Hunter Long,MIA,TE,23,7,2,3,1,0,0,0,0,0,0,8,0,1,0,0,0,2021
556,Anthony McFarland Jr.,PIT,RB,22,2,0,1,1,0,0,0,3,0,3,11,0,1,0,0,0,2021
557,Kirk Merritt,MIA,WR,24,2,0,3,1,0,0,0,0,0,0,13,0,1,0,0,0,2021
558,Jaydon Mickens,2TM,WR,27,11,0,3,2,0,0,0,0,0,0,10,0,1,0,1,0,2021
559,Stanley Morgan Jr.,CIN,WR,25,17,1,4,2,0,0,0,3,0,1,11,0,1,0,0,0,2021
560,Johnny Mundt,LAR,TE,27,6,0,1,1,0,0,0,0,0,0,9,0,1,0,0,0,2021
561,Ryan Nall,CHI,RB,26,9,0,1,1,0,0,0,4,0,1,4,0,1,0,0,0,2021
562,Jacques Patrick,SFO,RB,24,2,0,0,0,0,0,0,12,0,2,0,0,1,0,0,0,2021
563,Kevin Rader,PIT,TE,26,6,1,3,2,0,0,0,0,0,0,8,0,1,0,0,0,2021
564,Richard Rodgers,PHI,TE,29,3,0,2,2,0,0,0,0,0,0,11,0,1,0,0,0,2021
565,Mekhi Sargent,3TM,RB,24,7,0,1,0,0,0,0,11,0,5,0,0,1,0,0,0,2021
566,C.J. Saunders,CAR,WR,25,2,0,2,2,0,0,0,0,0,0,11,0,1,0,0,0,2021
567,Luke Stocker,MIN,TE,33,12,0,2,2,0,0,0,0,0,0,12,0,1,0,0,0,2021
568,Eric Tomlinson,BAL,TE,29,17,7,1,1,0,0,0,0,0,0,7,0,1,0,0,0,2021
569,Tyrell Williams,DET,WR,29,1,1,3,2,0,0,0,0,0,0,14,0,1,0,0,0,2021
570,Easop Winston,NOR,WR,25,3,1,1,1,0,0,0,0,0,0,5,0,1,0,0,0,2021
571,Ethan Wolf,NOR,TE,26,2,1,2,2,0,0,0,0,0,0,8,0,1,0,0,0,2021
572,Josh Adams,NYJ,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
573,Rodney Adams,CHI,,27,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2021
574,Geronimo Allison,DET,,27,3,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,2021
575,Devin Asiasi,NWE,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
576,Marcell Ateman,LVR,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2021
