,Player,Targets,RushingTDs,ReceivingTDs,Receptions,RushingAtt,RushingYds,ReceivingYds,FantasyPoints,ADP,Games,Usage,Touchdowns,TotYdsScrm,Production,PassingYds,PassingTD,PassingAtt,RushingTD,AVG,G
79,Jauan Jennings,38.0,0.0,5.0,24.0,0.0,0.0,282.0,58.0,306.0,16.0,3.875,5.0,282.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Michael Gallup,62.0,0.0,2.0,35.0,0.0,0.0,445.0,57.0,160.5,9.0,10.777777777777779,2.0,445.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Zach Pascal,69.0,0.0,3.0,38.0,2.0,21.0,384.0,57.0,344.0,16.0,6.6875,3.0,405.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,DeSean Jackson,34.0,0.0,2.0,20.0,1.0,4.0,454.0,56.0,0.0,16.0,3.375,2.0,458.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Tre'Quan Smith,50.0,0.0,3.0,32.0,0.0,0.0,377.0,56.0,365.0,11.0,7.454545454545454,3.0,377.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Rondale Moore,64.0,0.0,1.0,54.0,18.0,76.0,435.0,55.0,165.8,14.0,8.428571428571429,1.0,511.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Jamal Agnew,39.0,1.0,1.0,24.0,7.0,111.0,229.0,52.0,0.0,10.0,6.3,2.0,340.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Kenny Golladay,76.0,0.0,0.0,37.0,0.0,0.0,521.0,52.0,150.5,14.0,8.071428571428571,0.0,521.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Josh Reynolds,49.0,0.0,2.0,29.0,0.0,0.0,396.0,52.0,291.0,12.0,6.5,2.0,396.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Keelan Cole,51.0,0.0,1.0,28.0,0.0,0.0,449.0,51.0,0.0,15.0,5.266666666666667,1.0,449.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Nico Collins,60.0,0.0,1.0,33.0,0.0,0.0,446.0,51.0,241.3,14.0,6.642857142857143,1.0,446.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,T.Y. Hilton,37.0,0.0,3.0,23.0,0.0,0.0,331.0,51.0,348.0,10.0,6.0,3.0,331.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Devin Duvernay,47.0,0.0,2.0,33.0,7.0,50.0,272.0,50.0,232.5,16.0,5.0,2.0,322.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Julio Jones,48.0,0.0,1.0,31.0,0.0,0.0,434.0,49.0,156.5,10.0,7.9,1.0,434.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Allen Robinson,66.0,0.0,1.0,38.0,0.0,0.0,410.0,49.0,0.0,12.0,8.666666666666666,1.0,410.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Laquon Treadwell,51.0,0.0,1.0,33.0,0.0,0.0,434.0,49.0,0.0,12.0,7.0,1.0,434.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Jerry Jeudy,56.0,0.0,0.0,38.0,2.0,3.0,467.0,47.0,60.5,10.0,9.4,0.0,470.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Mack Hollins,28.0,0.0,4.0,14.0,0.0,0.0,223.0,46.0,0.0,17.0,2.4705882352941178,4.0,223.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Danny Amendola,38.0,0.0,3.0,24.0,0.0,0.0,248.0,45.0,0.0,8.0,7.75,3.0,248.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Jalen Reagor,57.0,0.0,2.0,33.0,10.0,32.0,299.0,45.0,0.0,17.0,5.294117647058823,2.0,331.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Demarcus Robinson,41.0,0.0,3.0,25.0,0.0,0.0,264.0,44.0,271.0,17.0,3.8823529411764706,3.0,264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Chris Conley,37.0,0.0,2.0,22.0,1.0,3.0,323.0,43.0,0.0,16.0,3.6875,2.0,326.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Darius Slayton,58.0,0.0,2.0,26.0,1.0,-13.0,339.0,43.0,391.0,13.0,6.461538461538462,2.0,326.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Kadarius Toney,57.0,0.0,0.0,39.0,3.0,6.0,420.0,43.0,121.8,10.0,9.6,0.0,426.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Sammy Watkins,49.0,0.0,1.0,27.0,0.0,0.0,394.0,43.0,183.0,13.0,5.846153846153846,1.0,394.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Sterling Shepard,53.0,0.0,1.0,36.0,1.0,-9.0,366.0,42.0,256.0,7.0,12.714285714285714,1.0,357.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,James Washington,44.0,0.0,2.0,24.0,2.0,13.0,285.0,42.0,267.0,15.0,4.533333333333333,2.0,298.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Calvin Ridley,52.0,0.0,2.0,31.0,0.0,0.0,281.0,40.0,0.0,5.0,16.6,2.0,281.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Damiere Byrd,38.0,0.0,1.0,26.0,0.0,0.0,329.0,39.0,0.0,17.0,3.764705882352941,1.0,329.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Ashton Dulin,22.0,0.0,2.0,13.0,3.0,32.0,173.0,39.0,0.0,17.0,2.0588235294117645,2.0,205.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Antoine Wesley,32.0,0.0,3.0,19.0,0.0,0.0,208.0,39.0,0.0,15.0,3.4,3.0,208.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Adam Humphries,62.0,0.0,0.0,41.0,0.0,0.0,383.0,38.0,0.0,17.0,6.0588235294117645,0.0,383.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Marquise Goodwin,40.0,0.0,1.0,20.0,2.0,-1.0,313.0,37.0,338.0,14.0,4.285714285714286,1.0,312.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Lil'Jordan Humphrey,18.0,0.0,2.0,13.0,0.0,0.0,249.0,37.0,0.0,10.0,3.1,2.0,249.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Tyler Johnson,55.0,0.0,0.0,36.0,0.0,0.0,360.0,36.0,0.0,17.0,5.352941176470588,0.0,360.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Cyril Grayson,12.0,0.0,2.0,10.0,1.0,14.0,212.0,35.0,0.0,5.0,4.4,2.0,226.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Chris Moore,22.0,0.0,2.0,21.0,0.0,0.0,227.0,35.0,0.0,12.0,3.5833333333333335,2.0,227.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Chester Rogers,43.0,0.0,1.0,30.0,1.0,9.0,301.0,35.0,0.0,16.0,4.5625,1.0,310.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Quintez Cephus,22.0,0.0,2.0,15.0,0.0,0.0,204.0,34.0,0.0,5.0,7.4,2.0,204.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Rashard Higgins,47.0,0.0,1.0,24.0,0.0,0.0,275.0,34.0,298.0,15.0,4.733333333333333,1.0,275.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Cam Sims,23.0,0.0,2.0,15.0,1.0,7.0,211.0,34.0,319.0,14.0,2.7142857142857144,2.0,218.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
